"","GMUID","Bulls","Cows","Calves","Harvest","Hunters","Success","Days","Season","Year","Percent_Bulls","Percent_Cows","Percent_Calves","Percent_Days"
"284","500",NA,NA,NA,16,60,NA,NA,4,2015,0.427,0.491,0.084,3.183
"285","501",NA,NA,NA,9,55,NA,NA,1,2015,0.863,0.089,0.006,4.019
"286","501",NA,NA,NA,15,113,NA,NA,2,2015,0.66,0.222,0.005,4.704
"287","501",NA,NA,NA,14,88,NA,NA,3,2015,0.495,0.305,0.007,4.516
"288","501",NA,NA,NA,11,62,NA,NA,4,2015,0.441,0.328,0.011,3.525
"289","51",NA,NA,NA,27,63,NA,NA,1,2015,0.897,0.095,0.005,3.468
"290","51",NA,NA,NA,31,73,NA,NA,2,2015,0.911,0.087,0.004,3.682
"291","51",NA,NA,NA,16,41,NA,NA,3,2015,0.946,0.052,0.005,3.595
"292","51",NA,NA,NA,15,34,NA,NA,4,2015,0.96,0.04,0.005,3.189
"293","511",NA,NA,NA,16,168,NA,NA,1,2015,0.717,0.291,0.016,3.71
"294","511",NA,NA,NA,16,329,NA,NA,2,2015,0.752,0.258,0.013,4.209
"295","511",NA,NA,NA,12,252,NA,NA,3,2015,0.775,0.242,0.012,3.961
"296","511",NA,NA,NA,14,123,NA,NA,4,2015,0.769,0.258,0.013,3.37
"297","52",NA,NA,NA,20,195,NA,NA,1,2015,0.485,0.465,0.048,3.984
"298","52",NA,NA,NA,40,547,NA,NA,2,2015,0.497,0.459,0.051,4.456
"299","52",NA,NA,NA,36,453,NA,NA,3,2015,0.501,0.45,0.053,4.403
"300","52",NA,NA,NA,17,131,NA,NA,4,2015,0.486,0.436,0.055,3.808
"301","521",NA,NA,NA,95,376,NA,NA,1,2015,0.511,0.524,0.057,4.469
"302","521",NA,NA,NA,167,847,NA,NA,2,2015,0.469,0.49,0.062,4.948
"303","521",NA,NA,NA,93,593,NA,NA,3,2015,0.302,0.564,0.065,4.828
"304","521",NA,NA,NA,36,219,NA,NA,4,2015,0.108,0.677,0.069,3.936
"305","53",NA,NA,NA,112,348,NA,NA,1,2015,0.579,0.33,0.009,4.077
"306","53",NA,NA,NA,80,397,NA,NA,2,2015,0.528,0.378,0.008,4.574
